1 SVG_dblog_1 copyGplotFile
2 Stromzaehler CONNECTED
1 WetterProplanta cloudBaseMax: .*
1 WetterProplanta cloudBaseMin: .*
1 WetterProplanta dewPoint: .*
2 WetterProplanta durationFetchReadings: .*
1 WetterProplanta fc0_chOfRain00: .*
1 WetterProplanta fc0_chOfRain03: .*
1 WetterProplanta fc0_chOfRain06: .*
1 WetterProplanta fc0_chOfRain09: .*
1 WetterProplanta fc0_chOfRain12: .*
1 WetterProplanta fc0_chOfRain15: .*
1 WetterProplanta fc0_chOfRain18: .*
1 WetterProplanta fc0_chOfRain21: .*
1 WetterProplanta fc0_chOfRainDay: .*
1 WetterProplanta fc0_chOfRainNight: .*
1 WetterProplanta fc0_cloud00: .*
1 WetterProplanta fc0_cloud03: .*
1 WetterProplanta fc0_cloud06: .*
1 WetterProplanta fc0_cloud09: .*
1 WetterProplanta fc0_cloud12: .*
1 WetterProplanta fc0_cloud15: .*
1 WetterProplanta fc0_cloud18: .*
1 WetterProplanta fc0_cloud21: .*
1 WetterProplanta fc0_date: .*
1 WetterProplanta fc0_dew: .*
1 WetterProplanta fc0_evapor: .*
1 WetterProplanta fc0_frost: .*
1 WetterProplanta fc0_gust00: .*
1 WetterProplanta fc0_gust03: .*
1 WetterProplanta fc0_gust06: .*
1 WetterProplanta fc0_gust09: .*
1 WetterProplanta fc0_gust12: .*
1 WetterProplanta fc0_gust15: .*
1 WetterProplanta fc0_gust18: .*
1 WetterProplanta fc0_gust21: .*
1 WetterProplanta fc0_moonRise: .*
1 WetterProplanta fc0_moonSet: .*
1 WetterProplanta fc0_rad: .*
1 WetterProplanta fc0_rain00: .*
1 WetterProplanta fc0_rain03: .*
1 WetterProplanta fc0_rain06: .*
1 WetterProplanta fc0_rain09: .*
1 WetterProplanta fc0_rain12: .*
1 WetterProplanta fc0_rain15: .*
1 WetterProplanta fc0_rain18: .*
1 WetterProplanta fc0_rain21: .*
1 WetterProplanta fc0_rain: .*
1 WetterProplanta fc0_sun: .*
1 WetterProplanta fc0_sunRise: .*
1 WetterProplanta fc0_sunSet: .*
1 WetterProplanta fc0_temp00: .*
1 WetterProplanta fc0_temp03: .*
1 WetterProplanta fc0_temp06: .*
1 WetterProplanta fc0_temp09: .*
1 WetterProplanta fc0_temp12: .*
1 WetterProplanta fc0_temp15: .*
1 WetterProplanta fc0_temp18: .*
1 WetterProplanta fc0_temp21: .*
1 WetterProplanta fc0_tempMax: .*
